key_id,decision,winner
odis0888,bat,Pakistan
odis0889,bat,India
odis0890,bat,India
odis0891,bat,South Africa
odis0892,field,South Africa
odis0893,bat,Sri Lanka
odis0894,bat,South Africa
odis0895,field,Sri Lanka
odis0896,field,Zimbabwe
odis0897,field,India
odis0898,field,Zimbabwe
odis0899,bat,Sri Lanka
odis0900,bat,New Zealand
odis0901,bat,Afghanistan
odis0902,field,Sri Lanka
odis0903,bat,Australia
odis0904,bat,England
odis0905,bat,Sri Lanka
odis0906,bat,England
odis0907,bat,Australia
odis0908,bat,Ireland
odis0909,bat,Pakistan
odis0910,bat,Australia
odis0911,bat,Ireland
odis0912,bat,Pakistan
odis0913,bat,Sri Lanka
odis0914,bat,Australia
odis0915,bat,New Zealand
odis0916,bat,Australia
odis0917,field,India
odis0918,field,South Africa
odis0919,bat,Sri Lanka
odis0920,field,South Africa
odis0921,bat,Australia
odis0922,bat,Australia
odis0923,field,Sri Lanka
odis0924,field,Bangladesh
odis0925,field,Sri Lanka
odis0926,bat,Sri Lanka
odis0927,bat,Australia
odis0928,field,Bangladesh
odis0929,field,West Indies
odis0930,bat,Pakistan
odis0931,bat,Australia
odis0932,field,Bangladesh
odis0933,field,Bangladesh
odis0934,field,Australia
odis0935,field,West Indies
odis0936,bat,Afghanistan
odis0937,bat,Sri Lanka
odis0938,bat,Sri Lanka
odis0939,bat,Pakistan
odis0940,bat,Sri Lanka
odis0941,field,West Indies
odis0942,bat,Pakistan
odis0943,field,England
odis0944,field,Australia
odis0945,field,Australia
odis0946,bat,England
odis0947,bat,Australia
odis0948,field,England
odis0949,field,West Indies
odis0950,field,Afghanistan
odis0951,field,England
odis0952,field,New Zealand
odis0953,field,England
odis0954,field,England
odis0955,field,West Indies
odis0956,field,England
odis0957,bat,West Indies
odis0958,bat,West Indies
odis0959,bat,India
odis0960,bat,India
odis0961,bat,Sri Lanka
odis0962,bat,Sri Lanka
odis0963,bat,India
odis0964,field,South Africa
odis0965,bat,Australia
odis0966,bat,Pakistan
odis0967,bat,South Africa
odis0968,bat,Australia
odis0969,bat,South Africa
odis0970,field,England
odis0971,field,Australia
odis0972,bat,England
odis0973,bat,New Zealand
odis0974,field,Sri Lanka
odis0975,field,Sri Lanka
odis0976,field,New Zealand
odis0977,bat,West Indies
odis0978,field,West Indies
odis0979,field,West Indies
odis0980,field,Bangladesh
odis0981,field,Bangladesh
odis0982,bat,Australia
odis0983,field,Australia
odis0984,bat,Australia
odis0985,field,Pakistan
odis0986,field,India
odis0987,bat,India
odis0988,bat,Australia
odis0989,bat,England
odis0990,field,Sri Lanka
odis0991,bat,India
odis0992,bat,Australia
odis0993,field,New Zealand
odis0994,field,India
odis0995,bat,Australia
odis0996,field,South Africa
odis0997,field,Sri Lanka
odis0998,field,India
odis0999,bat,New Zealand
odis1000,field,England
odis1001,field,West Indies
odis1002,field,Sri Lanka
odis1003,bat,West Indies
odis1004,field,India
odis1005,field,West Indies
odis1006,bat,Sri Lanka
odis1007,bat,Australia
odis1008,field,England
odis1009,bat,West Indies
odis1010,field,Australia
odis1011,field,West Indies
odis1012,field,New Zealand
odis1013,bat,England
odis1014,field,England
odis1015,bat,Australia
odis1016,field,New Zealand
odis1017,field,England
odis1018,bat,Sri Lanka
odis1019,field,Zimbabwe
odis1020,field,England
odis1021,bat,West Indies
odis1022,field,Sri Lanka
odis1023,bat,Zimbabwe
odis1024,field,Pakistan
odis1025,bat,Canada
odis1026,bat,South Africa
odis1027,field,Pakistan
odis1028,bat,South Africa
odis1029,field,Sri Lanka
odis1030,bat,Pakistan
odis1031,field,Bangladesh
odis1032,bat,Sri Lanka
odis1033,field,Zimbabwe
odis1034,field,Zimbabwe
odis1035,field,Zimbabwe
odis1036,bat,Pakistan
odis1037,bat,Pakistan
odis1038,field,Pakistan
odis1039,field,New Zealand
odis1040,bat,New Zealand
odis1041,field,New Zealand
odis1042,field,South Africa
odis1043,field,West Indies
odis1044,bat,England
odis1045,bat,Sri Lanka
odis1046,bat,South Africa
odis1047,field,India
odis1048,bat,Australia
odis1049,field,Sri Lanka
odis1050,field,West Indies
odis1051,field,India
odis1052,field,New Zealand
odis1053,field,Australia
odis1054,field,England
odis1055,field,India
odis1056,field,England
odis1057,field,West Indies
odis1058,field,West Indies
odis1059,bat,England
odis1060,field,India
odis1061,bat,Pakistan
odis1062,field,West Indies
odis1063,bat,Ireland
odis1064,field,West Indies
odis1065,field,Sri Lanka
odis1066,field,India
odis1067,field,West Indies
odis1068,field,Pakistan
odis1069,bat,Pakistan
odis1070,field,West Indies
odis1071,bat,Pakistan
odis1072,field,South Africa
odis1073,field,Pakistan
odis1074,bat,Sri Lanka
odis1075,field,Pakistan
odis1076,field,India
odis1077,field,Zimbabwe
odis1078,bat,South Africa
odis1079,field,India
odis1080,bat,South Africa
odis1081,bat,Sri Lanka
odis1082,field,India
odis1083,field,India
odis1084,bat,Australia
odis1085,bat,England
odis1086,bat,Australia
odis1087,field,Canada
odis1088,bat,Pakistan
odis1089,field,Netherlands
odis1090,field,Zimbabwe
odis1091,field,Zimbabwe
odis1092,field,England
odis1093,bat,Scotland
odis1094,field,England
odis1095,field,Australia
odis1096,field,England
odis1097,bat,Australia
odis1098,field,South Africa
odis1099,field,South Africa
odis1100,bat,Australia
odis1101,bat,Australia
odis1102,field,Australia
odis1103,field,India
odis1104,field,Sri Lanka
odis1105,field,South Africa
odis1106,field,New Zealand
odis1107,bat,South Africa
odis1108,field,India
odis1109,bat,Bangladesh
odis1110,bat,Pakistan
odis1111,field,Australia
