key_id,teams
odis0670,Zimbabwe
odis0671,Bangladesh
odis0671,England
odis0672,West Indies
odis0672,Zimbabwe
odis0673,New Zealand
odis0673,Australia
odis0674,New Zealand
odis0674,Australia
odis0675,West Indies
odis0675,Zimbabwe
odis0676,New Zealand
odis0676,Australia
odis0677,West Indies
odis0677,Zimbabwe
odis0678,New Zealand
odis0678,Australia
odis0679,West Indies
odis0679,Zimbabwe
odis0680,West Indies
odis0680,South Africa
odis0681,West Indies
odis0681,South Africa
odis0682,Zimbabwe
odis0682,India
odis0683,West Indies
odis0683,South Africa
odis0684,India
odis0684,Sri Lanka
odis0685,West Indies
odis0685,South Africa
odis0686,Zimbabwe
odis0686,Sri Lanka
odis0687,Zimbabwe
odis0687,India
odis0688,West Indies
odis0688,South Africa
odis0689,India
odis0689,Sri Lanka
odis0690,Zimbabwe
odis0690,Sri Lanka
odis0691,Zimbabwe
odis0691,Sri Lanka
odis0692,Sri Lanka
odis0692,Pakistan
odis0693,Bangladesh
odis0693,India
odis0694,Ireland
odis0694,Australia
odis0695,Sri Lanka
odis0695,Bangladesh
