key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
apl0001,2,Kabul Zwanan,10.4,Shahidullah,Zia-ur-Rehman,LJ Evans,0,0,0,0,Ihsanullah,caught,Shahidullah,,,10,4
apl0001,2,Kabul Zwanan,10.5,LJ Evans,Zia-ur-Rehman,Rashid Khan,0,0,0,0,,,,,,10,5
apl0001,2,Kabul Zwanan,10.6,LJ Evans,Zia-ur-Rehman,Rashid Khan,1,0,0,1,,,,,,10,6
apl0001,2,Kabul Zwanan,11.1,LJ Evans,Shahid Afridi,Rashid Khan,1,0,0,1,,,,,,11,1
apl0001,2,Kabul Zwanan,11.2,Rashid Khan,Shahid Afridi,LJ Evans,2,0,0,2,,,,,,11,2
apl0001,2,Kabul Zwanan,11.3,Rashid Khan,Shahid Afridi,LJ Evans,0,0,0,0,,,,,,11,3
apl0001,2,Kabul Zwanan,11.4,Rashid Khan,Shahid Afridi,LJ Evans,4,0,0,4,,,,,,11,4
apl0001,2,Kabul Zwanan,11.5,Rashid Khan,Shahid Afridi,LJ Evans,1,0,0,1,,,,,,11,5
apl0001,2,Kabul Zwanan,11.6,LJ Evans,Shahid Afridi,Rashid Khan,1,0,0,1,,,,,,11,6
apl0001,2,Kabul Zwanan,12.1,LJ Evans,Zia-ur-Rehman,Rashid Khan,1,0,0,1,,,,,,12,1
apl0001,2,Kabul Zwanan,12.2,Rashid Khan,Zia-ur-Rehman,LJ Evans,6,0,0,6,,,,,,12,2
apl0001,2,Kabul Zwanan,12.3,Rashid Khan,Zia-ur-Rehman,LJ Evans,6,0,0,6,,,,,,12,3
apl0001,2,Kabul Zwanan,12.4,Rashid Khan,Zia-ur-Rehman,LJ Evans,2,0,0,2,,,,,,12,4
apl0001,2,Kabul Zwanan,12.5,Rashid Khan,Zia-ur-Rehman,LJ Evans,1,0,0,1,,,,,,12,5
apl0001,2,Kabul Zwanan,12.6,LJ Evans,Zia-ur-Rehman,Rashid Khan,0,0,0,0,,,,,,12,6
apl0001,2,Kabul Zwanan,13.1,Rashid Khan,Yousuf Zazai,LJ Evans,2,0,0,2,,,,,,13,1
apl0001,2,Kabul Zwanan,13.2,Rashid Khan,Yousuf Zazai,LJ Evans,0,0,0,0,,,,,,13,2
