key,toss_winner,toss_decision,decision,winner
ntb0678,,,bat,Somerset
ntb0679,,,field,Yorkshire
ntb0680,,,field,Surrey
ntb0681,,,bat,Gloucestershire
ntb0682,,,bat,Birmingham Bears
ntb0683,,,bat,Derbyshire
ntb0684,,,bat,Hampshire
ntb0685,,,field,Lancashire
ntb0686,,,bat,Leicestershire
ntb0687,,,field,Sussex
ntb0688,,,field,Durham
ntb0689,,,field,Hampshire
ntb0690,,,field,Sussex
ntb0691,,,field,Somerset
ntb0692,,,bat,Leicestershire
ntb0693,,,bat,Northamptonshire
ntb0694,,,bat,Birmingham Bears
ntb0695,,,field,Durham
ntb0696,,,bat,Surrey
ntb0697,,,bat,Middlesex
ntb0698,,,field,Glamorgan
ntb0699,,,bat,Nottinghamshire
ntb0700,,,bat,Birmingham Bears
ntb0701,,,field,Worcestershire
ntb0702,,,field,Hampshire
ntb0703,,,bat,Leicestershire
ntb0704,,,bat,Derbyshire
ntb0705,,,bat,Glamorgan
ntb0706,,,field,Birmingham Bears
ntb0707,,,bat,Somerset
ntb0708,,,bat,Middlesex
ntb0709,,,bat,Yorkshire
ntb0710,,,bat,Essex
ntb0711,,,field,Kent
ntb0712,,,bat,Worcestershire
ntb0713,,,bat,Essex
ntb0714,,,field,Birmingham Bears
ntb0715,,,field,Gloucestershire
ntb0716,,,bat,Somerset
ntb0717,,,bat,Leicestershire
ntb0718,,,bat,Durham
ntb0719,,,bat,Glamorgan
ntb0720,,,field,Essex
ntb0721,,,field,Nottinghamshire
ntb0722,,,field,Worcestershire
ntb0723,,,field,Derbyshire
ntb0724,,,field,Essex
ntb0725,,,bat,Essex
ntb0726,,,field,Nottinghamshire
ntb0727,,,field,Essex
ntb0728,,,bat,Lancashire
ntb0729,,,field,Kent
ntb0730,,,field,Surrey
ntb0731,,,field,Gloucestershire
ntb0732,,,field,Northamptonshire
ntb0733,,,field,Kent
ntb0734,,,field,Lancashire
ntb0735,,,bat,Durham
ntb0736,,,bat,Glamorgan
ntb0737,,,field,Somerset
ntb0738,,,bat,Yorkshire
ntb0739,,,field,Surrey
ntb0740,,,field,Sussex
ntb0741,,,bat,Gloucestershire
ntb0742,,,bat,Yorkshire
ntb0743,,,bat,Lancashire
ntb0744,,,bat,Leicestershire
ntb0745,,,field,Hampshire
ntb0746,,,field,Kent
ntb0747,,,field,Birmingham Bears
ntb0748,,,field,Sussex
ntb0749,,,field,Somerset
ntb0750,,,field,Birmingham Bears
ntb0751,,,field,Surrey
ntb0752,,,field,Sussex
ntb0753,,,field,Northamptonshire
ntb0754,,,field,Worcestershire
ntb0755,,,field,Essex
ntb0756,,,bat,Leicestershire
ntb0757,,,field,Lancashire
ntb0758,,,field,Durham
ntb0759,,,field,Somerset
ntb0760,,,field,Worcestershire
ntb0761,,,bat,Kent
ntb0762,,,bat,Middlesex
ntb0763,,,field,Hampshire
ntb0764,,,bat,Durham
ntb0765,,,field,Northamptonshire
ntb0766,,,bat,Birmingham Bears
ntb0767,,,field,Leicestershire
ntb0768,,,bat,Essex
ntb0769,,,field,Nottinghamshire
ntb0770,,,bat,Worcestershire
ntb0771,,,bat,Middlesex
ntb0772,,,field,Sussex
ntb0773,,,bat,Leicestershire
ntb0774,,,bat,Nottinghamshire
ntb0775,,,bat,Worcestershire
ntb0776,,,field,Somerset
ntb0777,,,bat,Northamptonshire
ntb0778,,,field,Kent
ntb0779,,,field,Sussex
ntb0780,,,field,Middlesex
ntb0781,,,bat,Yorkshire
ntb0782,,,bat,Worcestershire
ntb0783,,,bat,Gloucestershire
ntb0784,,,bat,Derbyshire
ntb0785,,,field,Yorkshire
ntb0786,,,field,Surrey
ntb0787,,,field,Kent
ntb0788,,,field,Glamorgan
ntb0789,,,bat,Essex
ntb0790,,,field,Nottinghamshire
ntb0791,,,bat,Lancashire
