key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
ntb0372,,runs,52.0,,,,,Lancashire
ntb0373,,runs,2.0,,,,,Surrey
ntb0374,,runs,48.0,,,,,Yorkshire
ntb0375,,wickets,6.0,,,,,Warwickshire
ntb0376,,runs,3.0,,,,,Derbyshire
ntb0377,,wickets,7.0,,,,,Kent
ntb0378,,wickets,3.0,,,,,Leicestershire
ntb0379,,runs,4.0,,,,,Surrey
ntb0380,,runs,18.0,,,,,Glamorgan
ntb0381,,wickets,6.0,,,,,Northamptonshire
ntb0382,,runs,19.0,,,,,Hampshire
ntb0383,,wickets,6.0,,,,,Gloucestershire
ntb0384,,wickets,1.0,,,,,Middlesex
ntb0385,,runs,22.0,,,,,Essex
ntb0386,,wickets,5.0,,,,,Leicestershire
ntb0387,,wickets,5.0,,,,,Northamptonshire
ntb0388,,wickets,8.0,,,,,Kent
ntb0389,,,,,,D/L,tie,
ntb0390,,runs,29.0,,,,,Hampshire
ntb0391,,,,,,,no result,
ntb0392,,runs,21.0,,,,,Somerset
ntb0393,,,,,,,no result,
ntb0394,,wickets,5.0,,,,,Glamorgan
ntb0395,,wickets,5.0,,,,,Lancashire
ntb0396,,runs,9.0,,,,,Leicestershire
ntb0397,,runs,8.0,,,,,Gloucestershire
ntb0398,,runs,10.0,,,,,Surrey
ntb0399,,wickets,7.0,,,,,Derbyshire
ntb0400,,wickets,6.0,,,,,Sussex
ntb0401,,runs,27.0,,,,,Leicestershire
ntb0402,,runs,16.0,,,,,Middlesex
ntb0403,,,,,,,no result,
ntb0404,,wickets,7.0,,,,,Essex
ntb0405,,runs,5.0,,,,,Nottinghamshire
ntb0406,,runs,15.0,,,,,Surrey
ntb0407,,runs,29.0,,,,,Yorkshire
ntb0408,,runs,2.0,,,D/L,,Northamptonshire
ntb0409,,runs,12.0,,,D/L,,Nottinghamshire
ntb0410,,runs,20.0,,,,,Warwickshire
ntb0411,,,,,,D/L,tie,
ntb0412,,wickets,5.0,,,,,Somerset
ntb0413,,runs,31.0,,,,,Lancashire
ntb0414,,runs,37.0,,,,,Yorkshire
ntb0415,,wickets,9.0,,,,,Nottinghamshire
ntb0416,,runs,25.0,,,,,Glamorgan
ntb0417,,runs,13.0,,,,,Worcestershire
ntb0418,,runs,14.0,,,,,Somerset
ntb0419,,runs,24.0,,,,,Yorkshire
ntb0420,,wickets,7.0,,,,,Northamptonshire
ntb0421,,runs,72.0,,,,,Middlesex
ntb0422,,wickets,7.0,,,D/L,,Kent
ntb0423,,runs,24.0,,,D/L,,Hampshire
ntb0424,,wickets,6.0,,,,,Durham
ntb0425,,,,,,,no result,
ntb0426,,wickets,5.0,,,,,Warwickshire
ntb0427,,runs,32.0,,,D/L,,Somerset
ntb0428,,runs,25.0,,,,,Glamorgan
ntb0429,,wickets,7.0,,,,,Derbyshire
ntb0430,,wickets,8.0,,,,,Worcestershire
ntb0431,,wickets,5.0,,,,,Nottinghamshire
ntb0432,,runs,5.0,,,,,Kent
ntb0433,,runs,2.0,,,,,Warwickshire
ntb0434,,,,,,,no result,
ntb0435,,wickets,6.0,,,,,Hampshire
ntb0436,,wickets,5.0,,,,,Derbyshire
ntb0437,,wickets,8.0,,,,,Sussex
ntb0438,,runs,11.0,,,,,Northamptonshire
ntb0439,,runs,5.0,,,D/L,,Gloucestershire
ntb0440,,wickets,4.0,,,,,Essex
ntb0441,,runs,5.0,,,,,Worcestershire
ntb0442,,runs,6.0,,,,,Glamorgan
ntb0443,,wickets,5.0,,,,,Sussex
ntb0444,,wickets,7.0,,,,,Gloucestershire
ntb0445,,runs,1.0,,,,,Durham
ntb0446,,runs,8.0,,,,,Nottinghamshire
ntb0447,,runs,4.0,,,,,Lancashire
ntb0448,,runs,24.0,,,,,Northamptonshire
ntb0449,,wickets,5.0,,,,,Nottinghamshire
ntb0450,,wickets,4.0,,,,,Somerset
ntb0451,,runs,2.0,,,,,Middlesex
ntb0452,,wickets,8.0,,,,,Hampshire
ntb0453,,runs,19.0,,,,,Yorkshire
ntb0454,,wickets,5.0,,,,,Sussex
ntb0455,,runs,48.0,,,,,Leicestershire
ntb0456,,runs,9.0,,,,,Essex
ntb0457,,runs,13.0,,,,,Durham
ntb0458,,wickets,5.0,,,,,Nottinghamshire
ntb0459,,wickets,6.0,,,,,Hampshire
ntb0460,,wickets,4.0,,,,,Leicestershire
ntb0461,,wickets,6.0,,,,,Kent
ntb0462,,runs,1.0,,,,,Glamorgan
ntb0463,,wickets,8.0,,,,,Warwickshire
ntb0464,,wickets,3.0,,,,,Essex
ntb0465,,runs,17.0,,,,,Surrey
ntb0466,,runs,11.0,,,,,Nottinghamshire
ntb0467,,wickets,3.0,,,,,Derbyshire
ntb0468,,runs,61.0,,,,,Middlesex
ntb0469,,wickets,7.0,,,,,Lancashire
ntb0470,,runs,124.0,,,,,Yorkshire
ntb0471,,wickets,2.0,,,,,Surrey
ntb0472,,wickets,4.0,,,,,Leicestershire
ntb0473,,runs,11.0,,,,,Kent
ntb0474,,runs,2.0,,,,,Leicestershire
ntb0475,,,,,,,no result,
ntb0476,,wickets,2.0,,,,,Warwickshire
ntb0477,,runs,98.0,,,,,Somerset
ntb0478,,runs,48.0,,,,,Derbyshire
ntb0479,,wickets,7.0,,,,,Glamorgan
ntb0480,,runs,55.0,,,,,Sussex
ntb0481,,runs,10.0,,,,,Surrey
ntb0482,,runs,101.0,,,,,Hampshire
ntb0483,,wickets,9.0,,,,,Glamorgan
ntb0484,,wickets,5.0,,,,,Nottinghamshire
ntb0485,,wickets,6.0,,,,,Warwickshire
ntb0486,,runs,22.0,,,,,Nottinghamshire
ntb0487,,runs,23.0,,,,,Nottinghamshire
ntb0488,,runs,11.0,,,,,Warwickshire
ntb0489,,wickets,8.0,,,,,Birmingham Bears
ntb0490,,wickets,4.0,,,,,Leicestershire
ntb0491,,runs,36.0,,,,,Sussex
ntb0492,,wickets,3.0,,,,,Middlesex
ntb0493,,wickets,5.0,,,,,Worcestershire
ntb0494,,runs,44.0,,,,,Yorkshire
ntb0495,,runs,33.0,,,,,Durham
ntb0496,,wickets,6.0,,,,,Somerset
ntb0497,,wickets,9.0,,,,,Lancashire
ntb0498,,runs,58.0,,,,,Nottinghamshire
ntb0499,,runs,4.0,,,,,Worcestershire
ntb0500,,runs,6.0,,,,,Kent
ntb0501,,wickets,3.0,,,,,Essex
ntb0502,,runs,63.0,,,,,Glamorgan
ntb0503,,runs,19.0,,,,,Nottinghamshire
ntb0504,,wickets,8.0,,,,,Kent
ntb0505,,wickets,6.0,,,,,Worcestershire
ntb0506,,wickets,6.0,,,,,Gloucestershire
ntb0507,,wickets,8.0,,,,,Sussex
ntb0508,,wickets,8.0,,,,,Lancashire
ntb0509,,wickets,8.0,,,,,Birmingham Bears
ntb0510,,runs,5.0,,,,,Gloucestershire
ntb0511,,runs,39.0,,,,,Surrey
ntb0512,,wickets,8.0,,,,,Sussex
ntb0513,,wickets,4.0,,,,,Gloucestershire
ntb0514,,runs,39.0,,,D/L,,Nottinghamshire
ntb0515,,runs,52.0,,,,,Surrey
ntb0516,,runs,41.0,,,,,Worcestershire
ntb0517,,runs,10.0,,,,,Yorkshire
ntb0518,,runs,100.0,,,,,Leicestershire
ntb0519,,wickets,2.0,,,,,Glamorgan
ntb0520,,runs,3.0,,,,,Kent
ntb0521,,runs,12.0,,,,,Lancashire
ntb0522,,runs,12.0,,,,,Yorkshire
ntb0523,,runs,18.0,,,,,Durham
ntb0524,,runs,34.0,,,,,Durham
ntb0525,,wickets,8.0,,,,,Lancashire
ntb0526,,runs,31.0,,,,,Derbyshire
ntb0527,,wickets,4.0,,,,,Somerset
ntb0528,,runs,17.0,,,,,Leicestershire
ntb0529,,runs,30.0,,,,,Somerset
ntb0530,,wickets,7.0,,,,,Durham
ntb0531,,runs,1.0,,,,,Lancashire
ntb0532,,,,,,,tie,
ntb0533,,,,,,,no result,
ntb0534,,,,,,,no result,
ntb0535,,runs,21.0,,,,,Hampshire
ntb0536,,,,,,,tie,
ntb0537,,runs,22.0,,,,,Middlesex
ntb0538,,runs,16.0,,,D/L,,Nottinghamshire
ntb0539,,wickets,6.0,,,,,Derbyshire
ntb0540,,wickets,9.0,,,,,Worcestershire
ntb0541,,wickets,9.0,,,,,Surrey
ntb0542,,runs,31.0,,,D/L,,Yorkshire
ntb0543,,runs,30.0,,,,,Gloucestershire
ntb0544,,,,,,,no result,
ntb0545,,wickets,7.0,,,,,Durham
ntb0546,,wickets,5.0,,,,,Derbyshire
ntb0547,,runs,38.0,,,D/L,,Somerset
ntb0548,,runs,77.0,,,,,Derbyshire
ntb0549,,wickets,4.0,,,,,Glamorgan
ntb0550,,runs,60.0,,,,,Yorkshire
ntb0551,,runs,16.0,,,,,Somerset
ntb0552,,wickets,4.0,,,,,Gloucestershire
ntb0553,,runs,9.0,,,,,Nottinghamshire
ntb0554,,wickets,8.0,,,,,Birmingham Bears
ntb0555,,runs,12.0,,,,,Sussex
ntb0556,,runs,75.0,,,,,Durham
ntb0557,,runs,28.0,,,,,Kent
ntb0558,,wickets,10.0,,,,,Somerset
ntb0559,,runs,16.0,,,,,Derbyshire
ntb0560,,wickets,3.0,,,,,Worcestershire
ntb0561,,wickets,9.0,,,,,Surrey
ntb0562,,wickets,5.0,,,,,Leicestershire
