balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key,missing
6,Leeds,2015-07-10,male,T20,20,JM Bairstow,2015,club,Headingley,ntb00214,
6,Worcester,2015-07-10,male,T20,20,R Clarke,2015,club,"County Ground, New Road",ntb00215,
6,Nottingham,2015-07-10,male,T20,20,JT Ball,2015,club,Trent Bridge,ntb00216,
6,Hove,2015-07-10,male,T20,20,LJ Wright,2015,club,County Ground,ntb00217,
6,Leicester,2015-07-10,male,T20,20,SJ Croft,2015,club,Grace Road,ntb00218,
6,Canterbury,2015-07-10,male,T20,20,DJ Bell-Drummond,2015,club,St Lawrence Ground,ntb00219,
6,Southampton,2015-07-10,male,T20,20,AJA Wheater,2015,club,The Rose Bowl,ntb00220,
6,Richmond,2015-07-10,male,T20,20,ST Finn,2015,club,Old Deer Park,ntb00221,
6,Chesterfield,2015-07-12,male,T20,20,WJ Durston,2015,club,Queen's Park,ntb00222,
6,Cheltenham,2015-07-12,male,T20,20,AJ Blake,2015,club,College Ground,ntb00223,
6,Northampton,2015-07-12,male,T20,20,RE Levi,2015,club,County Ground,ntb00224,
6,Cheltenham,2015-07-14,male,T20,20,GO Jones,2015,club,College Ground,ntb00225,
6,Leeds,2015-07-14,male,T20,20,RA Whiteley,2015,club,Headingley,ntb00226,
6,Manchester,2015-07-15,male,T20,20,JWA Taylor,2015,club,Old Trafford,ntb00227,
6,London,2015-07-17,male,T20,20,JJ Roy,2015,club,Kennington Oval,ntb00228,
6,Hove,2015-07-17,male,T20,20,JM Vince,2015,club,County Ground,ntb00229,
6,Northampton,2015-07-17,male,T20,20,DJ Willey,2015,club,County Ground,ntb00230,
6,Birmingham,2015-07-17,male,T20,20,SJ Croft,2015,club,Edgbaston,ntb00231,
6,Chelmsford,2015-07-17,male,T20,20,JD Ryder,2015,club,County Ground,ntb00232,
6,Chester-le-Street,2015-07-17,male,T20,20,MH Wessels,2015,club,Riverside Ground,ntb00233,
6,Derby,2015-07-17,male,T20,20,J Leach,2015,club,County Ground,ntb00234,
6,Tunbridge Wells,2015-07-17,male,T20,20,GG Wagg,2015,club,Nevill Ground,ntb00235,
6,Birmingham,2015-07-22,male,T20,20,V Chopra,2015,club,Edgbaston,ntb00236,
6,Southampton,2015-07-23,male,T20,20,Yasir Arafat,2015,club,The Rose Bowl,ntb00237,
6,London,2015-07-23,male,T20,20,JA Simpson,2015,club,Lord's,ntb00238,
6,Cardiff,2015-07-24,male,T20,20,CDJ Dent,2015,club,Sophia Gardens,ntb00239,
6,Leeds,2015-07-24,male,T20,20,JA Leaning,2015,club,Headingley,ntb00240,
6,Hove,2015-08-12,male,T20,20,DJ Willey,2015,club,County Ground,ntb00241,
6,Worcester,2015-08-14,male,T20,20,JM Vince,2015,club,"County Ground, New Road",ntb00242,
6,Canterbury,2015-08-15,male,T20,20,JC Buttler,2015,club,St Lawrence Ground,ntb00243,
6,Birmingham,2015-08-29,male,T20,20,RE Levi,2015,club,Edgbaston,ntb00244,
6,Birmingham,2015-08-29,male,T20,20,SD Parry,2015,club,Edgbaston,ntb00245,
6,Birmingham,2015-08-29,male,T20,20,AL Davies,2015,club,Edgbaston,ntb00246,
6,Bristol,2016-05-20,male,T20,20,LRPL Taylor,2016,club,County Ground,ntb00247,
6,Canterbury,2016-05-20,male,T20,20,DJ Bell-Drummond,2016,club,St Lawrence Ground,ntb00248,
6,Chelmsford,2016-05-20,male,T20,20,Azhar Mahmood,2016,club,County Ground,ntb00249,
6,Worcester,2016-05-20,male,T20,20,T Kohler-Cadmore,2016,club,"County Ground, New Road",ntb00250,
6,Leicester,2016-05-20,male,T20,20,RE Levi,2016,club,Grace Road,ntb00251,
6,Nottingham,2016-05-20,male,T20,20,SR Hain,2016,club,Trent Bridge,ntb00252,
