decision,winner,key
field,Somerset,ntb00738
bat,Glamorgan,ntb00739
field,Sussex,ntb00740
bat,Gloucestershire,ntb00741
bat,Leicestershire,ntb00742
bat,Lancashire,ntb00743
bat,Yorkshire,ntb00744
field,Hampshire,ntb00745
field,Kent,ntb00746
field,Somerset,ntb00747
field,Sussex,ntb00748
field,Birmingham Bears,ntb00749
field,Birmingham Bears,ntb00750
field,Essex,ntb00751
field,Worcestershire,ntb00752
field,Northamptonshire,ntb00753
field,Sussex,ntb00754
field,Surrey,ntb00755
field,Worcestershire,ntb00756
field,Somerset,ntb00757
field,Durham,ntb00758
field,Lancashire,ntb00759
bat,Leicestershire,ntb00760
bat,Middlesex,ntb00761
bat,Kent,ntb00762
field,Hampshire,ntb00763
bat,Durham,ntb00764
field,Northamptonshire,ntb00765
bat,Birmingham Bears,ntb00766
bat,Essex,ntb00767
bat,Worcestershire,ntb00768
field,Leicestershire,ntb00769
field,Nottinghamshire,ntb00770
field,Sussex,ntb00771
bat,Middlesex,ntb00772
bat,Northamptonshire,ntb00773
field,Somerset,ntb00774
bat,Worcestershire,ntb00775
bat,Nottinghamshire,ntb00776
bat,Leicestershire,ntb00777
bat,Yorkshire,ntb00778
field,Middlesex,ntb00779
field,Sussex,ntb00780
field,Kent,ntb00781
bat,Derbyshire,ntb00782
bat,Gloucestershire,ntb00783
bat,Worcestershire,ntb00784
field,Yorkshire,ntb00785
field,Surrey,ntb00786
field,Glamorgan,ntb00787
bat,Essex,ntb00788
field,Kent,ntb00789
bat,Lancashire,ntb00790
field,Nottinghamshire,ntb00791
bat,Essex,ntb00792
field,Sussex,ntb00793
bat,Birmingham Bears,ntb00794
bat,Northamptonshire,ntb00795
bat,Glamorgan,ntb00796
bat,Durham,ntb00797
field,Surrey,ntb00798
bat,Nottinghamshire,ntb00799
bat,Somerset,ntb00800
field,Durham,ntb00801
bat,Leicestershire,ntb00802
field,Sussex,ntb00803
bat,Worcestershire,ntb00804
bat,Birmingham Bears,ntb00805
bat,Hampshire,ntb00806
field,Surrey,ntb00807
bat,Derbyshire,ntb00808
bat,Northamptonshire,ntb00809
field,Nottinghamshire,ntb00810
field,Kent,ntb00811
field,Sussex,ntb00812
field,Surrey,ntb00813
bat,Lancashire,ntb00814
field,Nottinghamshire,ntb00815
field,Essex,ntb00816
field,Hampshire,ntb00817
bat,Derbyshire,ntb00818
field,Nottinghamshire,ntb00819
field,Yorkshire,ntb00820
bat,Lancashire,ntb00821
field,Middlesex,ntb00822
bat,Gloucestershire,ntb00823
field,Leicestershire,ntb00824
field,Nottinghamshire,ntb00825
field,Surrey,ntb00826
field,Northamptonshire,ntb00827
field,Yorkshire,ntb00828
field,Sussex,ntb00829
field,Essex,ntb00830
field,Middlesex,ntb00831
bat,Hampshire,ntb00832
bat,Kent,ntb00833
bat,Lancashire,ntb00834
field,Glamorgan,ntb00835
bat,Nottinghamshire,ntb00836
bat,Derbyshire,ntb00837
bat,Leicestershire,ntb00838
field,Surrey,ntb00839
bat,Derbyshire,ntb00840
bat,Yorkshire,ntb00841
bat,Nottinghamshire,ntb00842
field,Middlesex,ntb00843
field,Sussex,ntb00844
field,Kent,ntb00845
bat,Birmingham Bears,ntb00846
field,Leicestershire,ntb00847
field,Worcestershire,ntb00848
bat,Kent,ntb00849
bat,Lancashire,ntb00850
field,Sussex,ntb00851
field,Gloucestershire,ntb00852
bat,Northamptonshire,ntb00853
bat,Glamorgan,ntb00854
field,Derbyshire,ntb00855
bat,Leicestershire,ntb00856
bat,Nottinghamshire,ntb00857
field,Derbyshire,ntb00858
field,Essex,ntb00859
bat,Durham,ntb00860
field,Essex,ntb00861
field,Gloucestershire,ntb00862
field,Derbyshire,ntb00863
field,Nottinghamshire,ntb00864
bat,Yorkshire,ntb00865
bat,Durham,ntb00866
field,Somerset,ntb00867
field,Glamorgan,ntb00868
field,Derbyshire,ntb00869
field,Essex,ntb00870
field,Surrey,ntb00871
bat,Durham,ntb00872
field,Sussex,ntb00873
field,Essex,ntb00874
field,Hampshire,ntb00875
bat,Lancashire,ntb00876
field,Derbyshire,ntb00877
bat,Leicestershire,ntb00878
field,Lancashire,ntb00879
bat,Yorkshire,ntb00880
field,Birmingham Bears,ntb00881
field,Worcestershire,ntb00882
bat,Glamorgan,ntb00883
field,Sussex,ntb00884
field,Somerset,ntb00885
field,Surrey,ntb00886
field,Essex,ntb00887
bat,Leicestershire,ntb00888
field,Durham,ntb00889
field,Hampshire,ntb00890
bat,Yorkshire,ntb00891
field,Somerset,ntb00892
bat,Lancashire,ntb00893
field,Sussex,ntb00894
bat,Glamorgan,ntb00895
field,Nottinghamshire,ntb00896
bat,Worcestershire,ntb00897
field,Middlesex,ntb00898
bat,Sussex,ntb00899
bat,Yorkshire,ntb00900
field,Birmingham Bears,ntb00901
bat,Kent,ntb00902
bat,Hampshire,ntb00903
field,Leicestershire,ntb00904
bat,Worcestershire,ntb00905
field,Sussex,ntb00906
field,Kent,ntb00907
bat,Yorkshire,ntb00908
bat,Northamptonshire,ntb00909
bat,Hampshire,ntb00910
field,Derbyshire,ntb00911
field,Middlesex,ntb00912
bat,Hampshire,ntb00913
field,Leicestershire,ntb00914
bat,Somerset,ntb00915
bat,Lancashire,ntb00916
bat,Birmingham Bears,ntb00917
field,Surrey,ntb00918
bat,Sussex,ntb00919
bat,Kent,ntb00920
bat,Yorkshire,ntb00921
bat,Kent,ntb00922
bat,Birmingham Bears,ntb00923
bat,Middlesex,ntb00924
field,Gloucestershire,ntb00925
bat,Worcestershire,ntb00926
field,Durham,ntb00927
field,Hampshire,ntb00928
bat,Yorkshire,ntb00929
field,Nottinghamshire,ntb00930
field,Somerset,ntb00931
field,Birmingham Bears,ntb00932
field,Somerset,ntb00933
bat,Kent,ntb00934
field,Somerset,ntb00935
bat,Kent,ntb00936
bat,Worcestershire,ntb00937
bat,Birmingham Bears,ntb00938
field,Gloucestershire,ntb00939
field,Glamorgan,ntb00940
field,Leicestershire,ntb00941
field,Nottinghamshire,ntb00942
bat,Birmingham Bears,ntb00943
bat,Northamptonshire,ntb00944
field,Sussex,ntb00945
bat,Lancashire,ntb00946
bat,Kent,ntb00947
field,Hampshire,ntb00948
field,Surrey,ntb00949
field,Leicestershire,ntb00950
field,Somerset,ntb00951
field,Kent,ntb00952
bat,Lancashire,ntb00953
