key_id,decision,winner
t20s0770,field,Australia
t20s0771,field,Australia
t20s0772,field,India
t20s0773,field,England
t20s0774,bat,Bangladesh
t20s0775,field,India
t20s0776,bat,New Zealand
t20s0777,field,Bangladesh
t20s0778,field,South Africa
t20s0779,field,South Africa
t20s0780,field,New Zealand
t20s0781,field,India
t20s0782,field,South Africa
t20s0783,bat,New Zealand
t20s0784,field,South Africa
t20s0785,field,South Africa
t20s0786,field,Sri Lanka
t20s0787,field,India
t20s0788,field,Bangladesh
t20s0789,field,India
t20s0790,field,West Indies
t20s0791,field,Bangladesh
t20s0792,field,West Indies
t20s0793,field,Bangladesh
t20s0794,field,India
t20s0795,field,West Indies
t20s0796,field,Australia
t20s0797,field,England
t20s0798,field,New Zealand
t20s0799,field,England
t20s0800,field,India
t20s0801,field,Pakistan
t20s0802,field,Australia
t20s0803,bat,England
t20s0804,bat,Pakistan
t20s0805,field,England
t20s0806,field,West Indies
t20s0807,bat,Pakistan
t20s0808,bat,West Indies
t20s0809,field,Bangladesh
t20s0810,field,Bangladesh
t20s0811,field,ICC World XI
t20s0812,bat,Thailand
t20s0813,bat,India
t20s0814,field,Malaysia
t20s0815,field,Thailand
t20s0816,field,Bangladesh
t20s0817,bat,Bangladesh
t20s0818,bat,India
t20s0819,bat,Malaysia
t20s0820,field,Sri Lanka
t20s0821,bat,Ireland
t20s0822,bat,Sri Lanka
t20s0823,field,Malaysia
t20s0824,field,Bangladesh
t20s0825,bat,Afghanistan
t20s0826,bat,Bangladesh
t20s0827,field,Thailand
t20s0828,bat,Pakistan
t20s0829,field,Bangladesh
t20s0830,field,Ireland
t20s0831,bat,Pakistan
t20s0832,bat,Ireland
t20s0833,bat,Pakistan
t20s0834,bat,Ireland
t20s0835,bat,Scotland
t20s0836,bat,Netherlands
t20s0837,bat,Scotland
t20s0838,bat,England
t20s0839,field,South Africa
t20s0840,bat,England
t20s0841,bat,England
t20s0842,field,Ireland
t20s0843,field,Australia
t20s0844,field,Bangladesh
t20s0845,bat,New Zealand
t20s0846,bat,South Africa
t20s0847,field,Ireland
t20s0848,field,Ireland
t20s0849,field,Zimbabwe
t20s0850,bat,New Zealand
t20s0851,field,Australia
t20s0852,field,Zimbabwe
t20s0853,field,India
t20s0854,field,Pakistan
t20s0855,field,Australia
t20s0856,bat,Zimbabwe
t20s0857,field,England
t20s0858,field,Bangladesh
t20s0859,bat,Netherlands
t20s0860,field,Scotland
t20s0861,field,Ireland
t20s0862,bat,United Arab Emirates
t20s0863,field,Bangladesh
t20s0864,field,Ireland
t20s0865,bat,Australia
t20s0866,field,India
t20s0867,field,Netherlands
t20s0868,field,Bangladesh
t20s0869,field,Ireland
t20s0870,bat,Scotland
t20s0871,bat,United Arab Emirates
t20s0872,field,Scotland
t20s0873,bat,Netherlands
t20s0874,field,Papua New Guinea
t20s0875,field,Ireland
t20s0876,field,Uganda
t20s0877,field,Scotland
t20s0878,field,United Arab Emirates
t20s0879,field,Nepal
t20s0880,field,West Indies
t20s0881,field,West Indies
t20s0882,bat,Bangladesh
t20s0883,bat,South Africa
t20s0884,field,Namibia
t20s0885,field,Lesotho
t20s0886,field,Ireland
t20s0887,bat,Mozambique
t20s0888,field,Lesotho
t20s0889,field,Namibia
t20s0890,bat,Afghanistan
t20s0891,bat,Sierra Leone
t20s0892,bat,Mozambique
t20s0893,field,Sierra Leone
t20s0894,field,Namibia
t20s0895,bat,Sierra Leone
t20s0896,field,Namibia
t20s0897,field,Malawi
t20s0898,field,India
t20s0899,field,India
t20s0900,field,India
t20s0901,field,Sri Lanka
t20s0902,field,West Indies
t20s0903,field,Australia
t20s0904,field,Australia
t20s0905,field,South Africa
t20s0906,field,Australia
t20s0907,field,South Africa
t20s0908,bat,South Africa
t20s0909,bat,Zimbabwe
t20s0910,bat,United Arab Emirates
t20s0911,field,Australia
t20s0912,bat,Australia
t20s0913,bat,Pakistan
t20s0914,field,Australia
t20s0915,field,Sri Lanka
t20s0916,bat,Pakistan
t20s0917,field,Australia
t20s0918,bat,Pakistan
t20s0919,bat,New Zealand
t20s0920,field,India
t20s0921,bat,Pakistan
t20s0922,field,West Indies
t20s0923,field,Bangladesh
t20s0924,bat,Australia
t20s0925,bat,India
t20s0926,bat,West Indies
t20s0927,bat,Ireland
t20s0928,field,India
t20s0929,field,South Africa
t20s0930,field,England
t20s0931,bat,Australia
t20s0932,bat,Pakistan
t20s0933,field,South Africa
t20s0934,field,Bangladesh
t20s0935,field,Pakistan
t20s0936,field,Ireland
t20s0937,bat,West Indies
t20s0938,bat,South Africa
t20s0939,bat,Ireland
t20s0940,bat,India
t20s0941,field,Australia
t20s0942,field,Bangladesh
t20s0943,field,West Indies
t20s0944,field,India
t20s0945,bat,India
t20s0946,field,West Indies
t20s0947,field,India
t20s0948,bat,England
t20s0949,bat,Australia
t20s0950,bat,Bangladesh
