match_number,name,key,stage
39.0,Indian Premier League,ipl00556,nan
40.0,Indian Premier League,ipl00557,nan
41.0,Indian Premier League,ipl00558,nan
42.0,Indian Premier League,ipl00559,nan
43.0,Indian Premier League,ipl00560,nan
44.0,Indian Premier League,ipl00561,nan
45.0,Indian Premier League,ipl00562,nan
46.0,Indian Premier League,ipl00563,nan
47.0,Indian Premier League,ipl00564,nan
48.0,Indian Premier League,ipl00565,nan
49.0,Indian Premier League,ipl00566,nan
50.0,Indian Premier League,ipl00567,nan
51.0,Indian Premier League,ipl00568,nan
52.0,Indian Premier League,ipl00569,nan
54.0,Indian Premier League,ipl00570,nan
53.0,Indian Premier League,ipl00571,nan
56.0,Indian Premier League,ipl00572,nan
55.0,Indian Premier League,ipl00573,nan
,Indian Premier League,ipl00574,Qualifier 1
,Indian Premier League,ipl00575,Elimination Final
,Indian Premier League,ipl00576,Qualifier 2
,Indian Premier League,ipl00577,Final
1.0,Indian Premier League,ipl00578,nan
2.0,Indian Premier League,ipl00579,nan
3.0,Indian Premier League,ipl00580,nan
4.0,Indian Premier League,ipl00581,nan
5.0,Indian Premier League,ipl00582,nan
6.0,Indian Premier League,ipl00583,nan
7.0,Indian Premier League,ipl00584,nan
8.0,Indian Premier League,ipl00585,nan
9.0,Indian Premier League,ipl00586,nan
10.0,Indian Premier League,ipl00587,nan
11.0,Indian Premier League,ipl00588,nan
13.0,Indian Premier League,ipl00589,nan
12.0,Indian Premier League,ipl00590,nan
14.0,Indian Premier League,ipl00591,nan
15.0,Indian Premier League,ipl00592,nan
16.0,Indian Premier League,ipl00593,nan
17.0,Indian Premier League,ipl00594,nan
18.0,Indian Premier League,ipl00595,nan
19.0,Indian Premier League,ipl00596,nan
20.0,Indian Premier League,ipl00597,nan
21.0,Indian Premier League,ipl00598,nan
22.0,Indian Premier League,ipl00599,nan
23.0,Indian Premier League,ipl00600,nan
25.0,Indian Premier League,ipl00601,nan
24.0,Indian Premier League,ipl00602,nan
27.0,Indian Premier League,ipl00603,nan
26.0,Indian Premier League,ipl00604,nan
28.0,Indian Premier League,ipl00605,nan
30.0,Indian Premier League,ipl00606,nan
31.0,Indian Premier League,ipl00607,nan
32.0,Indian Premier League,ipl00608,nan
33.0,Indian Premier League,ipl00609,nan
34.0,Indian Premier League,ipl00610,nan
35.0,Indian Premier League,ipl00611,nan
36.0,Indian Premier League,ipl00612,nan
37.0,Indian Premier League,ipl00613,nan
38.0,Indian Premier League,ipl00614,nan
39.0,Indian Premier League,ipl00615,nan
40.0,Indian Premier League,ipl00616,nan
41.0,Indian Premier League,ipl00617,nan
42.0,Indian Premier League,ipl00618,nan
43.0,Indian Premier League,ipl00619,nan
45.0,Indian Premier League,ipl00620,nan
44.0,Indian Premier League,ipl00621,nan
47.0,Indian Premier League,ipl00622,nan
46.0,Indian Premier League,ipl00623,nan
48.0,Indian Premier League,ipl00624,nan
49.0,Indian Premier League,ipl00625,nan
50.0,Indian Premier League,ipl00626,nan
51.0,Indian Premier League,ipl00627,nan
52.0,Indian Premier League,ipl00628,nan
53.0,Indian Premier League,ipl00629,nan
54.0,Indian Premier League,ipl00630,nan
55.0,Indian Premier League,ipl00631,nan
56.0,Indian Premier League,ipl00632,nan
,Indian Premier League,ipl00633,Qualifier 1
,Indian Premier League,ipl00634,Eliminator
,Indian Premier League,ipl00635,Qualifier 2
,Indian Premier League,ipl00636,Final
1.0,Indian Premier League,ipl00637,nan
3.0,Indian Premier League,ipl00638,nan
2.0,Indian Premier League,ipl00639,nan
4.0,Indian Premier League,ipl00640,nan
5.0,Indian Premier League,ipl00641,nan
6.0,Indian Premier League,ipl00642,nan
7.0,Indian Premier League,ipl00643,nan
8.0,Indian Premier League,ipl00644,nan
9.0,Indian Premier League,ipl00645,nan
10.0,Indian Premier League,ipl00646,nan
11.0,Indian Premier League,ipl00647,nan
12.0,Indian Premier League,ipl00648,nan
13.0,Indian Premier League,ipl00649,nan
14.0,Indian Premier League,ipl00650,nan
15.0,Indian Premier League,ipl00651,nan
16.0,Indian Premier League,ipl00652,nan
17.0,Indian Premier League,ipl00653,nan
19.0,Indian Premier League,ipl00654,nan
18.0,Indian Premier League,ipl00655,nan
21.0,Indian Premier League,ipl00656,nan
20.0,Indian Premier League,ipl00657,nan
22.0,Indian Premier League,ipl00658,nan
23.0,Indian Premier League,ipl00659,nan
24.0,Indian Premier League,ipl00660,nan
25.0,Indian Premier League,ipl00661,nan
26.0,Indian Premier League,ipl00662,nan
27.0,Indian Premier League,ipl00663,nan
