team_1,team_2,key
Royal Challengers Bangalore,Mumbai Indians,ipl00474
Delhi Daredevils,Kolkata Knight Riders,ipl00475
Rajasthan Royals,Kings XI Punjab,ipl00476
Sunrisers Hyderabad,Kolkata Knight Riders,ipl00477
Royal Challengers Bangalore,Chennai Super Kings,ipl00478
Delhi Daredevils,Mumbai Indians,ipl00479
Rajasthan Royals,Royal Challengers Bangalore,ipl00480
Mumbai Indians,Sunrisers Hyderabad,ipl00481
Chennai Super Kings,Kings XI Punjab,ipl00482
Delhi Daredevils,Royal Challengers Bangalore,ipl00483
Kings XI Punjab,Sunrisers Hyderabad,ipl00484
Chennai Super Kings,Kolkata Knight Riders,ipl00485
Royal Challengers Bangalore,Rajasthan Royals,ipl00486
Kolkata Knight Riders,Chennai Super Kings,ipl00487
Delhi Daredevils,Kings XI Punjab,ipl00488
Mumbai Indians,Rajasthan Royals,ipl00489
Royal Challengers Bangalore,Kolkata Knight Riders,ipl00490
Sunrisers Hyderabad,Chennai Super Kings,ipl00491
Kings XI Punjab,Mumbai Indians,ipl00492
Rajasthan Royals,Delhi Daredevils,ipl00493
Chennai Super Kings,Royal Challengers Bangalore,ipl00494
Kolkata Knight Riders,Sunrisers Hyderabad,ipl00495
Mumbai Indians,Delhi Daredevils,ipl00496
Royal Challengers Bangalore,Kings XI Punjab,ipl00497
Kolkata Knight Riders,Delhi Daredevils,ipl00498
Rajasthan Royals,Sunrisers Hyderabad,ipl00499
Chennai Super Kings,Mumbai Indians,ipl00500
Kolkata Knight Riders,Kings XI Punjab,ipl00501
Delhi Daredevils,Sunrisers Hyderabad,ipl00502
Chennai Super Kings,Rajasthan Royals,ipl00503
Mumbai Indians,Royal Challengers Bangalore,ipl00504
Sunrisers Hyderabad,Kings XI Punjab,ipl00505
Delhi Daredevils,Chennai Super Kings,ipl00506
Kings XI Punjab,Royal Challengers Bangalore,ipl00507
Mumbai Indians,Kolkata Knight Riders,ipl00508
Sunrisers Hyderabad,Royal Challengers Bangalore,ipl00509
Kings XI Punjab,Chennai Super Kings,ipl00510
Rajasthan Royals,Kolkata Knight Riders,ipl00511
Royal Challengers Bangalore,Delhi Daredevils,ipl00512
Sunrisers Hyderabad,Mumbai Indians,ipl00513
Chennai Super Kings,Mumbai Indians,ipl00514
Royal Challengers Bangalore,Rajasthan Royals,ipl00515
Chennai Super Kings,Royal Challengers Bangalore,ipl00516
