decision,winner,key
bat,Adelaide Strikers,bbl00342
bat,Hobart Hurricanes,bbl00343
field,Sydney Sixers,bbl00344
bat,Brisbane Heat,bbl00345
bat,Perth Scorchers,bbl00346
bat,Hobart Hurricanes,bbl00347
bat,Brisbane Heat,bbl00348
bat,Sydney Thunder,bbl00349
field,Melbourne Stars,bbl00350
field,Adelaide Strikers,bbl00351
bat,Melbourne Stars,bbl00352
field,Melbourne Stars,bbl00353
field,Sydney Sixers,bbl00354
field,Melbourne Stars,bbl00355
bat,Melbourne Stars,bbl00356
bat,Perth Scorchers,bbl00357
field,Melbourne Renegades,bbl00358
field,Adelaide Strikers,bbl00359
